date,target_logvar
2017-01-15,-6.247740916961297
2017-01-16,-6.242574934995451
2017-01-17,-7.82403103771149
2017-01-18,-8.4696390386301
2017-01-19,-7.663808019753011
2017-01-20,-7.626077394281617
2017-01-21,-7.969482167224476
2017-01-22,-7.973492934727767
2017-01-23,-7.979109041840085
2017-01-24,-9.671459943064061
2017-01-25,-9.69857170274018
2017-01-26,-7.456588347693177
2017-01-27,-7.492018773162978
2017-01-28,-7.579333646297262
2017-01-29,-7.882693766178877
2017-01-30,-8.196905070000719
2017-01-31,-8.364193563585138
2017-02-01,-8.4446803171177
2017-02-02,-8.465405550702961
2017-02-03,-8.533157332081581
2017-02-04,-6.7670489870891055
2017-02-05,-6.7760206956399225
2017-02-06,-6.729783039245902
2017-02-07,-6.954019450477865
2017-02-08,-7.004006388511851
2017-02-09,-8.867855747943105
2017-02-10,-9.012115503154869
2017-02-11,-8.816397588496482
2017-02-12,-8.851508138618144
2017-02-13,-9.890543332876263
2017-02-14,-9.045966098723888
2017-02-15,-8.548446332269206
2017-02-16,-8.239215350763347
2017-02-17,-8.097411596102283
2017-02-18,-7.669406728709016
2017-02-19,-8.007029531625223
2017-02-20,-7.196204705265307
2017-02-21,-7.350115152580748
2017-02-22,-7.374050695067534
2017-02-23,-8.142924176041648
2017-02-24,-7.550837520806565
2017-02-25,-8.64132229855008
2017-02-26,-8.640302481813112
2017-02-27,-7.78752695124684
2017-02-28,-7.8938975943847725
2017-03-01,-8.367691384026088
2017-03-02,-7.537156548213925
2017-03-03,-7.055193408539681
2017-03-04,-6.533272145051377
2017-03-05,-6.353944727590148
2017-03-06,-5.841287314185427
2017-03-07,-5.754215055082892
2017-03-08,-6.206286378884854
2017-03-09,-6.261342511906458
2017-03-10,-7.6772388987186275
2017-03-11,-6.884470336445237
2017-03-12,-6.494007103654164
2017-03-13,-5.880687227825214
2017-03-14,-5.3070659512752405
2017-03-15,-5.26690320329051
2017-03-16,-5.010814723804776
2017-03-17,-5.057619735263775
2017-03-18,-5.844766342204122
2017-03-19,-5.508764263525239
2017-03-20,-5.4033566060658975
2017-03-21,-5.879822817765544
2017-03-22,-5.4202927963508065
2017-03-23,-5.428890914622385
2017-03-24,-6.523949889708722
2017-03-25,-6.454578669485609
2017-03-26,-6.414602434378704
2017-03-27,-7.59626094304344
2017-03-28,-7.558534088097278
2017-03-29,-7.537434567387595
2017-03-30,-7.65390035365608
2017-03-31,-7.854821383013277
2017-04-01,-7.227486085506731
2017-04-02,-7.092114136553577
2017-04-03,-7.3208306461714034
2017-04-04,-7.433836204311641
2017-04-05,-7.521146989123958
2017-04-06,-9.555410238183462
2017-04-07,-9.617682141542222
2017-04-08,-8.283779571247344
2017-04-09,-8.446390840934539
2017-04-10,-8.394343377080158
2017-04-11,-8.623041093551512
2017-04-12,-8.455013636653543
2017-04-13,-10.189928752480748
2017-04-14,-10.230306730071346
2017-04-15,-10.015251017321244
2017-04-16,-9.296475777434411
2017-04-17,-9.31274303629777
2017-04-18,-8.6073711831917
2017-04-19,-7.720721854927885
2017-04-20,-7.748796266748098
2017-04-21,-7.848351459161358
2017-04-22,-7.688165791664819
2017-04-23,-8.46309118888743
2017-04-24,-8.978371441872772
2017-04-25,-8.866227282819448
2017-04-26,-7.619288937739642
2017-04-27,-7.651802125566421
2017-04-28,-7.988115927495521
2017-04-29,-8.518898599961428
2017-04-30,-8.261540353838985
2017-05-01,-9.615406390374845
2017-05-02,-9.369039927750338
2017-05-03,-7.085677561165263
2017-05-04,-7.060121642714595
2017-05-05,-7.110799318267046
2017-05-06,-7.180940771575445
2017-05-07,-5.870374059834985
2017-05-08,-6.2077163500967805
2017-05-09,-6.2155239935156725
2017-05-10,-6.0626263062111505
2017-05-11,-6.274819276270888
2017-05-12,-6.433079790095525
2017-05-13,-6.602336771149105
2017-05-14,-6.391819608403872
2017-05-15,-7.351343371446429
2017-05-16,-6.832285549506519
2017-05-17,-6.775186872096535
2017-05-18,-6.629372582969825
2017-05-19,-6.6268689214253325
2017-05-20,-5.73541813878822
2017-05-21,-5.561663427171296
2017-05-22,-5.431260731819039
2017-05-23,-5.522909216051389
2017-05-24,-5.578413023087366
2017-05-25,-5.678375171252469
2017-05-26,-5.626296052677443
2017-05-27,-6.471996621251707
2017-05-28,-6.580757472176032
2017-05-29,-6.612087316404856
2017-05-30,-7.4428670355818225
2017-05-31,-7.062037296910386
2017-06-01,-6.894250712102093
2017-06-02,-6.0512433980023514
2017-06-03,-6.060065965282333
2017-06-04,-6.096657780035
2017-06-05,-6.318875170934722
2017-06-06,-6.778456704424206
2017-06-07,-5.744378764451487
2017-06-08,-5.7685443038299935
2017-06-09,-5.509061562158744
2017-06-10,-5.880968732331499
2017-06-11,-5.743238994432522
2017-06-12,-5.971257453108354
2017-06-13,-5.92352897618118
2017-06-14,-6.610802060516377
2017-06-15,-6.530483775207203
2017-06-16,-6.396838398125552
2017-06-17,-6.767095424660665
2017-06-18,-7.547246258786882
2017-06-19,-6.6000247971084915
2017-06-20,-7.400844840869597
2017-06-21,-7.08565976515403
2017-06-22,-6.716448674729724
2017-06-23,-6.7744709532662775
2017-06-24,-7.222572894271346
2017-06-25,-7.134805615917699
2017-06-26,-7.611157817380942
2017-06-27,-7.621782437202479
2017-06-28,-7.390956629067426
2017-06-29,-7.433655760716695
2017-06-30,-7.895085928869133
2017-07-01,-8.730226299707127
2017-07-02,-7.636475537896853
2017-07-03,-7.682321852295628
2017-07-04,-7.675122821695928
2017-07-05,-6.957110672548262
2017-07-06,-7.087615050704389
2017-07-07,-6.749189578648123
2017-07-08,-7.026585468695229
2017-07-09,-6.7623353096750485
2017-07-10,-6.026031934940477
2017-07-11,-6.068397791663421
2017-07-12,-4.639782228675356
2017-07-13,-4.590458580490867
2017-07-14,-4.6584099310972125
2017-07-15,-4.277740254583122
2017-07-16,-4.201390957645768
2017-07-17,-4.353918873834288
2017-07-18,-4.254193544194438
2017-07-19,-4.302056943569298
2017-07-20,-6.059415713980843
2017-07-21,-6.242828300097647
2017-07-22,-6.19587008094965
2017-07-23,-5.973139349372805
2017-07-24,-5.879065860487387
2017-07-25,-6.483645603096538
2017-07-26,-6.659404167974664
2017-07-27,-6.170841311638947
2017-07-28,-6.570201369465231
2017-07-29,-6.508517784850692
2017-07-30,-6.4168379897333345
2017-07-31,-5.4661018501197205
2017-08-01,-5.857292043365086
2017-08-02,-6.024701972399926
2017-08-03,-5.93422729115722
2017-08-04,-5.654250700089789
2017-08-05,-7.116268944021655
2017-08-06,-6.455631998814379
2017-08-07,-6.340377319108453
2017-08-08,-6.364183417826018
2017-08-09,-7.32129511715627
2017-08-10,-6.219549619775218
2017-08-11,-6.42372105722511
2017-08-12,-6.352463198028897
2017-08-13,-6.139709070043603
2017-08-14,-6.718941673999877
2017-08-15,-6.800933184471066
2017-08-16,-8.065574607986411
2017-08-17,-7.283118431456986
2017-08-18,-7.647926465732242
2017-08-19,-7.027781301613821
2017-08-20,-7.469929433552843
2017-08-21,-7.997742664833822
2017-08-22,-8.012006042281461
2017-08-23,-7.903327509062936
2017-08-24,-7.872880985536896
2017-08-25,-7.7687154795953814
2017-08-26,-7.744821763478239
2017-08-27,-7.588020276918121
2017-08-28,-6.192812365102763
2017-08-29,-6.402536734045922
2017-08-30,-5.859609961946957
2017-08-31,-5.837330674631496
2017-09-01,-5.740896363989618
2017-09-02,-6.05964445346102
2017-09-03,-5.597785626684639
2017-09-04,-5.977072174707743
2017-09-05,-6.09155309899942
2017-09-06,-6.6158468591901345
2017-09-07,-6.666178173149723
2017-09-08,-7.207552862910373
2017-09-09,-5.0792926280936825
2017-09-10,-4.190486482339572
2017-09-11,-4.200082698061646
2017-09-12,-4.2018111553717254
2017-09-13,-3.972049448431853
2017-09-14,-4.843295345547935
2017-09-15,-5.392871625349902
2017-09-16,-5.099909471063003
2017-09-17,-5.109098337468941
2017-09-18,-6.306400704252058
2017-09-19,-6.336334666980236
2017-09-20,-5.800140647426973
2017-09-21,-6.471486984158085
2017-09-22,-6.109313319320779
2017-09-23,-6.0408397255870065
2017-09-24,-6.279858200260105
2017-09-25,-6.499379287286446
2017-09-26,-6.669160695875634
2017-09-27,-7.847677759328576
2017-09-28,-7.503146112980105
2017-09-29,-7.26532926005896
2017-09-30,-7.808732042917464
2017-10-01,-7.897050336700261
2017-10-02,-7.790320615531309
2017-10-03,-7.578711268542754
2017-10-04,-8.57817778197016
2017-10-05,-8.14286165565142
2017-10-06,-8.133893997329952
2017-10-07,-5.972367980398939
2017-10-08,-5.968964862606415
2017-10-09,-5.965175334293097
2017-10-10,-5.715714510667515
2017-10-11,-5.711764896296368
